epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,69.6339,0.48753,0.56591,1.05933,1,0.73534,0.945,0.6813,0.82213,1.12352,1.20908,0.0006338,0.0006338,0.0006338
71,70.5314,0.39938,0.54193,0.96318,1,0.74791,0.945,0.73557,0.84773,1.07255,1.16575,0.000614,0.000614,0.000614
72,71.4389,0.48509,0.5914,1.05205,0.98535,0.75,0.945,0.73557,0.89057,1.01669,1.14742,0.0005942,0.0005942,0.0005942
73,72.3539,0.42637,0.547,0.98267,0.98535,0.75,0.945,0.73557,0.89057,1.01669,1.14742,0.0005744,0.0005744,0.0005744
74,73.3365,0.4486,0.57637,1.02612,0.98177,0.75,0.945,0.76058,1.01467,0.93593,1.17806,0.0005546,0.0005546,0.0005546
75,74.345,0.451,0.53641,0.99747,1,0.98235,0.995,0.70395,1.0997,0.86477,1.22893,0.0005348,0.0005348,0.0005348
76,75.3315,0.50091,0.56689,1.05057,1,0.9844,0.995,0.72477,1.09475,0.8243,1.29119,0.000515,0.000515,0.000515
77,76.303,0.43054,0.51976,0.99446,1,0.9844,0.995,0.72477,1.09475,0.8243,1.29119,0.0004952,0.0004952,0.0004952
78,77.3155,0.38795,0.5208,0.96623,1,0.98771,0.995,0.72103,1.11281,0.83543,1.3689,0.0004754,0.0004754,0.0004754
79,78.2831,0.45308,0.52901,1.04236,1,0.98844,0.995,0.72103,1.07824,0.77463,1.42952,0.0004556,0.0004556,0.0004556
80,79.2696,0.42719,0.54922,0.9911,1,0.98602,0.995,0.78306,1.03896,0.77026,1.49544,0.0004358,0.0004358,0.0004358
81,80.2571,0.3887,0.50453,0.9916,1,0.98602,0.995,0.78306,1.03896,0.77026,1.49544,0.000416,0.000416,0.000416
82,81.2386,0.39668,0.48924,0.97407,1,0.98393,0.995,0.7397,1.02385,0.81251,1.53269,0.0003962,0.0003962,0.0003962
83,82.2218,0.45658,0.52063,1.02593,1,0.98071,0.995,0.73354,1.07501,0.84505,1.56354,0.0003764,0.0003764,0.0003764
84,83.2371,0.45758,0.52849,1.04804,0.98566,0.75,0.91167,0.67104,1.1209,0.89369,1.5685,0.0003566,0.0003566,0.0003566
85,84.1937,0.36916,0.50537,0.98002,0.98566,0.75,0.91167,0.67104,1.1209,0.89369,1.5685,0.0003368,0.0003368,0.0003368
86,85.2122,0.36912,0.44762,0.93502,0.98565,0.75,0.87,0.65854,1.17455,0.97876,1.5706,0.000317,0.000317,0.000317
87,86.1825,0.41903,0.48533,0.99001,0.98545,0.75,0.845,0.60608,1.2004,1.02672,1.56016,0.0002972,0.0002972,0.0002972
88,87.191,0.33898,0.50414,0.97891,0.9851,0.75,0.82833,0.57948,1.2155,1.19508,1.53763,0.0002774,0.0002774,0.0002774
89,88.1233,0.42932,0.51165,1.02512,0.9851,0.75,0.82833,0.57948,1.2155,1.19508,1.53763,0.0002576,0.0002576,0.0002576
90,89.0764,0.35606,0.50335,1.00705,0.98495,0.75,0.82833,0.57164,1.16634,1.19607,1.54423,0.0002378,0.0002378,0.0002378
91,90.0724,0.19867,0.569,0.83833,0.98534,0.75,0.83591,0.56492,1.13937,1.20554,1.55035,0.000218,0.000218,0.000218
92,91.0099,0.27106,0.59405,0.93753,0.98532,0.75,0.83591,0.58988,1.11758,1.24409,1.53632,0.0001982,0.0001982,0.0001982
93,91.8695,0.2213,0.54868,0.84022,0.98532,0.75,0.83591,0.58988,1.11758,1.24409,1.53632,0.0001784,0.0001784,0.0001784
94,92.7456,0.23536,0.57791,0.89379,0.98553,0.75,0.87,0.60907,1.11552,1.27371,1.49949,0.0001586,0.0001586,0.0001586
95,93.6281,0.21009,0.52539,0.86412,0.98512,0.75,0.80382,0.59498,1.11508,1.32848,1.4781,0.0001388,0.0001388,0.0001388
96,94.5146,0.21901,0.54135,0.87297,0.98383,0.75,0.80056,0.59359,1.12249,1.37138,1.45839,0.000119,0.000119,0.000119
97,95.4362,0.21033,0.55938,0.88571,0.98383,0.75,0.80056,0.59359,1.12249,1.37138,1.45839,9.92e-05,9.92e-05,9.92e-05
98,96.3202,0.18565,0.50137,0.83676,0.98387,0.75,0.80056,0.59358,1.12933,1.38899,1.46639,7.94e-05,7.94e-05,7.94e-05
99,97.2127,0.20004,0.51887,0.87539,0.98422,0.75,0.8075,0.57735,1.13382,1.41204,1.46504,5.96e-05,5.96e-05,5.96e-05
100,98.1352,0.1912,0.52974,0.83595,0.98531,0.75,0.91167,0.59616,1.127,1.40933,1.46321,3.98e-05,3.98e-05,3.98e-05
