epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1705.06,0.95031,0.63719,1.15623,0.84226,0.79565,0.85145,0.51445,1.39396,0.86352,1.56026,0.0007922,0.0007922,0.0007922
63,1732.81,0.94581,0.63091,1.16013,0.84781,0.75087,0.85036,0.52105,1.40374,0.85989,1.58257,0.0007724,0.0007724,0.0007724
64,1760.63,0.93316,0.62122,1.15452,0.88006,0.76564,0.85609,0.53306,1.35244,0.81411,1.59735,0.0007526,0.0007526,0.0007526
65,1788.19,0.90994,0.6128,1.13926,0.81334,0.77676,0.83672,0.51277,1.39512,0.82606,1.64227,0.0007328,0.0007328,0.0007328
66,1816.09,0.9042,0.60245,1.12656,0.8729,0.75652,0.85933,0.52696,1.35955,0.83458,1.61172,0.000713,0.000713,0.000713
67,1843.59,0.88261,0.60143,1.12311,0.86728,0.77826,0.85018,0.51582,1.42444,0.82545,1.72148,0.0006932,0.0006932,0.0006932
68,1871.59,0.89274,0.60409,1.12558,0.81898,0.78684,0.85308,0.51666,1.36549,0.83002,1.59485,0.0006734,0.0006734,0.0006734
69,1899.15,0.88799,0.59278,1.1208,0.8225,0.78572,0.83981,0.52739,1.3445,0.84306,1.60494,0.0006536,0.0006536,0.0006536
70,1926.71,0.87708,0.58671,1.1188,0.84105,0.8052,0.84779,0.52429,1.37135,0.78664,1.63455,0.0006338,0.0006338,0.0006338
71,1954.27,0.86187,0.58637,1.11036,0.83904,0.81589,0.86422,0.5375,1.33989,0.77367,1.58301,0.000614,0.000614,0.000614
72,1981.9,0.84383,0.57353,1.09935,0.86055,0.78696,0.86729,0.54519,1.32828,0.77561,1.5926,0.0005942,0.0005942,0.0005942
73,2009.78,0.85629,0.57498,1.11785,0.83079,0.8,0.85019,0.53299,1.35401,0.80985,1.62485,0.0005744,0.0005744,0.0005744
74,2037.36,0.83901,0.57273,1.10099,0.84142,0.79565,0.8579,0.52998,1.34695,0.79556,1.6431,0.0005546,0.0005546,0.0005546
75,2065.39,0.83821,0.56249,1.10149,0.88873,0.75217,0.87083,0.5408,1.32449,0.78743,1.57666,0.0005348,0.0005348,0.0005348
76,2093.11,0.82445,0.56246,1.09321,0.87875,0.75625,0.85824,0.54616,1.319,0.8076,1.60414,0.000515,0.000515,0.000515
77,2120.9,0.82558,0.55639,1.09182,0.82477,0.75717,0.84778,0.5293,1.34586,0.7986,1.63052,0.0004952,0.0004952,0.0004952
78,2148.44,0.81523,0.55113,1.08797,0.86002,0.77467,0.85032,0.5379,1.3301,0.80323,1.62577,0.0004754,0.0004754,0.0004754
79,2176.21,0.78976,0.5403,1.08121,0.85198,0.77826,0.86513,0.54147,1.33494,0.80501,1.6556,0.0004556,0.0004556,0.0004556
80,2203.75,0.77101,0.5242,1.06632,0.84275,0.74565,0.84696,0.53595,1.33776,0.79602,1.62417,0.0004358,0.0004358,0.0004358
81,2231.2,0.79292,0.53025,1.08232,0.85855,0.76957,0.86261,0.55066,1.34286,0.80621,1.63497,0.000416,0.000416,0.000416
82,2259.04,0.79391,0.53764,1.07865,0.87773,0.76957,0.85683,0.54626,1.32443,0.80805,1.62915,0.0003962,0.0003962,0.0003962
83,2286.53,0.75773,0.51835,1.05838,0.87635,0.75652,0.86573,0.55508,1.30021,0.79136,1.60739,0.0003764,0.0003764,0.0003764
84,2314.34,0.77511,0.5258,1.07316,0.85987,0.76522,0.84888,0.54138,1.34809,0.81074,1.65512,0.0003566,0.0003566,0.0003566
85,2341.89,0.7502,0.5126,1.05488,0.85571,0.77356,0.86535,0.54793,1.29767,0.81053,1.59045,0.0003368,0.0003368,0.0003368
86,2369.3,0.74839,0.51181,1.05106,0.8645,0.74899,0.85747,0.53383,1.32012,0.81547,1.62354,0.000317,0.000317,0.000317
87,2396.81,0.75815,0.51318,1.06176,0.84101,0.8,0.86443,0.55272,1.29231,0.79838,1.5896,0.0002972,0.0002972,0.0002972
88,2424.31,0.73754,0.50783,1.04825,0.81925,0.80798,0.85912,0.54721,1.29801,0.79784,1.61354,0.0002774,0.0002774,0.0002774
89,2451.66,0.73977,0.51073,1.06161,0.84803,0.77391,0.85605,0.5507,1.30683,0.79289,1.63896,0.0002576,0.0002576,0.0002576
90,2479.11,0.73121,0.49776,1.05031,0.85645,0.80413,0.87696,0.55324,1.30414,0.76468,1.62397,0.0002378,0.0002378,0.0002378
91,2505.21,0.62095,0.39799,0.97435,0.83808,0.81012,0.85973,0.53095,1.32663,0.76987,1.65514,0.000218,0.000218,0.000218
92,2531.14,0.59648,0.36654,0.95721,0.83741,0.78378,0.85857,0.53004,1.34099,0.79363,1.6745,0.0001982,0.0001982,0.0001982
93,2556.89,0.57743,0.35667,0.94668,0.88541,0.73908,0.86135,0.55047,1.30098,0.77261,1.63024,0.0001784,0.0001784,0.0001784
94,2582.6,0.56098,0.35009,0.92913,0.84237,0.76672,0.85078,0.5468,1.28272,0.77691,1.62581,0.0001586,0.0001586,0.0001586
95,2608.4,0.55195,0.34644,0.92876,0.83997,0.8,0.86648,0.55367,1.29178,0.79027,1.65479,0.0001388,0.0001388,0.0001388
96,2634.29,0.53931,0.33535,0.9223,0.84524,0.7913,0.86186,0.55807,1.2746,0.76097,1.64253,0.000119,0.000119,0.000119
97,2660.09,0.52398,0.33557,0.91359,0.87069,0.75652,0.86102,0.55611,1.26792,0.76878,1.63771,9.92e-05,9.92e-05,9.92e-05
98,2685.99,0.52615,0.33555,0.92585,0.8724,0.77289,0.86953,0.55852,1.26913,0.74301,1.63881,7.94e-05,7.94e-05,7.94e-05
99,2711.73,0.52179,0.32867,0.9184,0.86792,0.77391,0.87102,0.55964,1.27167,0.75934,1.64404,5.96e-05,5.96e-05,5.96e-05
100,2737.56,0.51081,0.32493,0.91921,0.86721,0.76957,0.86167,0.55674,1.27476,0.75515,1.65041,3.98e-05,3.98e-05,3.98e-05
